iter	Passed	Remaining
0	4	398
1	8	395
2	11	372
3	15	361
4	18	353
5	22	345
6	24	331
7	28	324
8	32	325
9	35	321
10	39	319
11	43	316
12	47	317
13	51	316
14	55	313
15	59	311
16	63	310
17	67	307
18	70	302
19	74	298
20	78	296
21	82	293
22	86	289
23	90	287
24	94	283
25	98	279
26	102	276
27	105	272
28	109	267
29	113	264
30	116	259
31	120	256
32	124	252
33	128	249
34	132	246
35	135	241
36	139	237
37	143	234
38	147	230
39	151	226
40	154	222
41	158	219
42	161	214
43	165	210
44	168	206
45	172	202
46	176	198
47	179	194
48	183	190
49	187	187
50	191	183
51	195	180
52	199	176
53	203	173
54	206	169
55	210	165
56	214	161
57	217	157
58	221	154
59	225	150
60	229	146
61	233	142
62	237	139
63	240	135
64	244	131
65	247	127
66	250	123
67	254	119
68	257	115
69	261	111
70	264	108
71	268	104
72	272	100
73	276	97
74	279	93
75	282	89
76	286	85
77	290	81
78	293	77
79	296	74
80	300	70
81	303	66
82	307	62
83	310	59
84	313	55
85	317	51
86	321	48
87	324	44
88	328	40
89	332	36
90	335	33
91	339	29
92	342	25
93	346	22
94	349	18
95	353	14
96	356	11
97	359	7
98	363	3
99	366	0
